,carat,cut,color,clarity,depth,table,price,x,y,z
0,4.5,Fair,J,I1,65.8,58.0,18531,10.23,10.16,6.72
1,4.13,Fair,H,I1,64.8,61.0,17329,10.0,9.85,6.43
2,4.01,Premium,J,I1,62.5,62.0,15223,10.02,9.94,6.24
3,4.01,Premium,I,I1,61.0,61.0,15223,10.14,10.1,6.17
4,4.0,Very Good,I,I1,63.3,58.0,15984,10.01,9.94,6.31
5,3.51,Premium,J,VS2,62.5,59.0,18701,9.66,9.63,6.03
6,3.5,Ideal,H,I1,62.8,57.0,12587,9.65,9.59,6.03
7,3.4,Fair,D,I1,66.8,52.0,15964,9.42,9.34,6.27
8,3.24,Premium,H,I1,62.1,58.0,12300,9.44,9.4,5.85
9,3.22,Ideal,I,I1,62.6,55.0,12545,9.49,9.42,5.92
10,3.11,Fair,J,I1,65.9,57.0,9823,9.15,9.02,5.98
11,3.05,Premium,E,I1,60.9,58.0,10453,9.26,9.25,5.66
12,3.04,Premium,I,SI2,59.3,60.0,18559,9.51,9.46,5.62
13,3.02,Fair,I,I1,65.2,56.0,10577,9.11,9.02,5.91
14,3.01,Fair,H,I1,56.1,62.0,10761,9.54,9.38,5.31
15,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9
16,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77
17,3.01,Ideal,J,SI2,61.7,58.0,16037,9.25,9.2,5.69
18,3.01,Premium,I,SI2,60.2,59.0,18242,9.36,9.31,5.62
19,3.01,Ideal,J,I1,65.4,60.0,16538,8.99,8.93,5.86
20,3.01,Good,H,SI2,57.6,64.0,18593,9.44,9.38,5.42
21,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77
22,3.01,Premium,F,I1,62.2,56.0,9925,9.24,9.13,5.73
23,3.01,Premium,I,I1,62.7,58.0,8040,9.1,8.97,5.67
24,3.01,Premium,J,SI2,59.7,58.0,18710,9.41,9.32,5.59
25,3.01,Premium,G,SI2,59.8,58.0,14220,9.44,9.37,5.62
26,3.0,Fair,I,SI2,64.8,59.0,16970,8.93,8.73,5.72
27,3.0,Very Good,H,I1,63.1,55.0,6512,9.23,9.1,5.77
28,3.0,Premium,I,SI2,60.7,59.0,16970,9.3,9.14,5.6
29,3.0,Good,I,I1,57.0,64.0,10863,9.38,9.31,5.33
30,2.8,Good,G,SI2,63.8,58.0,18788,8.9,8.85,0.0
31,2.8,Premium,I,SI2,61.1,59.0,15030,9.03,8.98,5.5
32,2.77,Premium,H,I1,62.6,62.0,10424,8.93,8.83,5.56
33,2.75,Ideal,D,I1,60.9,57.0,13156,9.04,8.98,5.49
34,2.75,Premium,H,SI2,60.5,61.0,15415,8.99,8.97,5.48
35,2.74,Fair,J,I1,64.9,61.0,8807,8.76,8.66,5.65
36,2.72,Ideal,J,SI2,62.1,56.0,17801,8.97,8.93,5.56
37,2.72,Ideal,H,I1,59.6,55.0,11594,9.17,9.13,5.45
38,2.71,Premium,E,SI2,60.4,59.0,17146,9.13,9.03,5.48
39,2.7,Very Good,H,SI2,63.1,56.0,14341,8.84,8.78,5.56
40,2.68,Premium,G,I1,58.6,60.0,8419,9.11,9.07,5.33
41,2.68,Very Good,I,I1,63.5,56.0,9665,8.81,8.77,5.58
42,2.67,Good,F,SI2,63.8,58.0,18686,8.69,8.64,5.54
43,2.66,Good,H,SI2,63.8,57.0,16239,8.71,8.65,5.54
44,2.66,Good,H,SI2,63.8,57.0,16239,8.71,8.65,5.54
45,2.65,Premium,G,SI2,62.0,61.0,16314,8.82,8.75,5.45
46,2.64,Ideal,H,SI2,62.3,55.0,17407,8.88,8.83,5.52
47,2.63,Premium,J,I1,62.3,61.0,10628,8.81,8.76,5.47
48,2.63,Ideal,J,SI2,62.1,57.0,16914,8.83,8.88,5.5
49,2.63,Very Good,J,I1,62.3,61.0,10437,8.76,8.81,5.47
50,2.61,Good,I,SI2,64.2,63.0,13784,8.66,8.57,5.53
51,2.61,Ideal,I,SI2,62.1,56.0,18756,8.85,8.73,5.46
52,2.6,Premium,J,SI2,58.3,61.0,17209,9.05,8.94,5.24
53,2.6,Fair,G,SI2,64.6,57.0,17027,8.6,8.55,5.54
54,2.59,Ideal,J,VS1,61.7,56.0,16465,8.83,8.77,5.43
55,2.58,Premium,H,SI2,62.6,57.0,16195,8.77,8.73,5.48
56,2.58,Fair,F,SI2,65.2,59.0,12500,8.58,8.51,5.57
57,2.57,Premium,D,SI2,58.9,58.0,17924,8.99,8.94,5.28
58,2.57,Premium,E,SI2,61.3,60.0,17116,8.82,8.73,5.38
