,Fair,Premium,Ideal,Good,Very Good
0,0.91,1.02,1.52,0.52,1.15
1,1.22,0.7,1.0,1.15,0.3
2,1.21,0.51,2.01,0.9,1.3
3,1.0,0.73,1.03,1.02,0.92
4,1.0,1.01,0.76,0.61,1.04
5,1.01,0.78,0.72,0.7,0.73
6,0.71,1.9,0.91,0.9,1.01
7,2.58,0.9,1.02,1.0,1.01
8,0.73,0.51,2.24,1.01,1.02
9,2.14,1.22,0.74,1.01,0.46
10,1.5,1.06,2.0,1.52,2.09
11,0.7,1.04,0.88,0.42,0.51
12,1.29,1.21,0.51,1.0,0.97
13,0.92,1.5,0.91,0.9,0.97
14,1.05,0.43,0.51,2.01,0.61
15,1.01,0.3,0.53,1.01,1.3
16,1.01,1.01,0.5,1.01,0.37
17,0.7,0.95,0.38,1.04,1.29
18,0.52,0.92,0.5,1.01,0.9
19,2.5,2.05,2.1,1.01,0.4
20,0.9,1.53,0.82,1.07,1.26
21,1.24,1.01,0.74,1.01,0.9
22,1.01,1.23,0.91,2.01,1.03
23,1.01,1.11,0.51,1.09,0.72
24,0.96,0.76,0.54,1.51,0.37
25,2.0,0.37,1.07,1.51,1.01
26,0.95,1.02,1.07,1.0,0.5
27,0.81,0.9,0.34,0.9,0.47
28,1.0,1.54,0.51,0.71,1.03
29,0.5,1.01,2.01,0.92,1.04
30,1.0,1.02,1.27,1.13,0.9
31,2.1,1.01,0.4,1.01,0.9
32,1.13,0.56,2.01,1.21,1.0
33,1.01,1.02,2.01,0.71,0.71
34,1.02,1.06,1.01,1.13,0.91
35,0.7,0.9,0.72,1.0,1.14
36,0.78,0.6,0.82,1.01,1.01
37,1.71,1.12,0.92,0.8,0.5
38,1.01,0.8,0.73,1.5,0.9
39,0.25,0.9,0.59,1.01,2.01
40,0.71,1.02,1.64,0.78,0.71
41,0.81,0.5,1.07,0.9,0.9
42,0.7,0.9,0.5,0.7,1.01
43,0.9,1.6,0.9,0.9,0.41
44,0.91,1.56,0.72,1.05,1.01
45,0.9,0.93,1.03,0.35,1.12
46,1.01,0.98,0.72,1.01,0.57
47,1.0,0.71,0.9,0.34,0.91
48,0.7,1.03,2.12,0.46,0.38
49,1.2,1.02,1.06,1.0,0.77
50,0.9,0.53,0.81,0.9,0.9
51,1.51,2.02,0.7,0.9,1.54
52,1.09,1.01,1.0,0.93,0.73
53,0.92,2.13,1.12,0.9,2.21
54,0.73,0.91,0.9,1.16,1.5
55,0.96,1.01,0.42,1.09,0.5
56,1.51,1.15,1.02,0.9,0.93
57,0.96,1.01,1.76,1.01,1.03
58,0.9,0.54,0.82,1.03,0.97
59,0.75,1.2,0.62,1.0,0.74
60,0.7,0.31,0.71,1.02,1.0
61,1.02,1.21,1.01,0.52,1.01
62,1.0,2.02,1.02,1.01,1.02
63,,1.03,1.02,1.39,1.01
64,,1.01,0.55,1.04,0.82
65,,1.0,0.58,0.9,1.0
66,,1.01,1.56,1.0,1.4
67,,1.01,0.59,0.44,0.74
68,,1.52,0.82,1.01,0.94
69,,0.55,1.38,0.9,1.0
70,,1.01,0.62,2.01,0.57
71,,0.77,0.33,0.7,0.9
72,,0.33,1.55,1.71,0.5
73,,1.0,0.78,0.79,0.77
74,,0.97,2.04,1.01,0.7
75,,1.05,0.81,1.02,0.7
76,,1.02,0.53,0.71,1.01
77,,1.0,1.01,1.59,2.09
78,,2.01,1.04,1.01,2.01
79,,0.52,1.01,1.01,1.03
80,,0.7,0.32,1.2,1.2
81,,1.0,0.59,0.34,0.8
82,,2.01,1.01,0.74,1.02
83,,1.02,0.71,0.63,1.5
84,,1.73,0.58,1.25,1.0
85,,1.27,1.15,0.73,0.91
86,,1.0,1.3,0.9,1.05
87,,1.07,1.03,0.57,1.01
88,,0.7,1.29,0.93,1.0
89,,0.4,1.24,1.5,1.01
90,,1.04,0.72,0.5,0.34
91,,0.57,0.71,1.8,1.02
92,,1.16,0.72,0.32,1.2
93,,0.57,0.61,1.0,1.0
94,,1.03,0.7,1.0,1.0
95,,0.41,1.02,0.32,0.38
96,,0.76,0.55,0.9,2.12
97,,1.01,0.54,1.02,1.52
98,,0.36,0.67,1.01,1.27
99,,0.78,1.51,1.13,1.01
100,,1.51,0.54,0.9,1.0
101,,1.01,1.6,0.91,0.7
102,,0.8,1.01,1.0,0.9
103,,1.17,2.02,1.06,1.07
104,,2.08,1.04,1.01,0.53
105,,0.97,0.55,0.71,0.78
106,,1.24,0.75,1.0,1.23
107,,1.01,0.74,1.56,1.01
108,,1.01,0.71,1.0,1.6
109,,0.87,2.01,0.9,2.16
110,,1.0,1.26,1.51,0.34
111,,1.7,2.03,2.01,0.71
112,,1.05,0.73,1.02,0.35
113,,1.23,0.5,0.5,0.3
114,,1.0,1.0,0.34,0.59
115,,1.01,1.07,1.01,0.59
116,,1.21,0.71,2.67,0.9
117,,1.53,1.02,1.0,1.51
118,,0.7,0.4,1.01,0.7
119,,0.73,0.56,1.01,1.01
120,,0.73,0.54,0.97,0.62
121,,1.33,1.11,1.5,0.38
122,,1.01,0.35,2.04,1.2
123,,1.08,0.72,1.02,0.9
124,,0.97,1.07,0.6,0.5
125,,0.9,1.29,0.7,1.01
126,,2.01,1.02,1.5,1.09
127,,1.62,2.01,1.01,1.0
